"","subject","activity","feature","mean"
"1",1,"WALKING","fBodyAccMag-mean()",-0.478448523354179
"2",1,"WALKING","fBodyAccMag-std()",-0.589710231217867
"3",1,"WALKING","fBodyBodyAccJerkMag-mean()",-0.499075765624092
"4",1,"WALKING","fBodyBodyAccJerkMag-std()",-0.541823079570029
"5",1,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.645970655298847
"6",1,"WALKING","fBodyBodyGyroJerkMag-std()",-0.685811262634006
"7",1,"WALKING","fBodyBodyGyroMag-mean()",-0.535002770337752
"8",1,"WALKING","fBodyBodyGyroMag-std()",-0.566576670397695
"9",1,"WALKING","tBodyAccJerkMag-mean()",-0.545431612066571
"10",1,"WALKING","tBodyAccJerkMag-std()",-0.515922167555159
"11",1,"WALKING","tBodyAccMag-mean()",-0.453632943768818
"12",1,"WALKING","tBodyAccMag-std()",-0.497096402038329
"13",1,"WALKING","tBodyGyroJerkMag-mean()",-0.639517432642651
"14",1,"WALKING","tBodyGyroJerkMag-std()",-0.652050770910663
"15",1,"WALKING","tBodyGyroMag-mean()",-0.475404785802305
"16",1,"WALKING","tBodyGyroMag-std()",-0.499839593745821
"17",1,"WALKING","tGravityAccMag-mean()",-0.453632943768818
"18",1,"WALKING","tGravityAccMag-std()",-0.497096402038329
"19",2,"STANDING","fBodyAccMag-mean()",-0.514569861316887
"20",2,"STANDING","fBodyAccMag-std()",-0.646662308457285
"21",2,"STANDING","fBodyBodyAccJerkMag-mean()",-0.509746432970861
"22",2,"STANDING","fBodyBodyAccJerkMag-std()",-0.518800797709272
"23",2,"STANDING","fBodyBodyGyroJerkMag-mean()",-0.751615078360927
"24",2,"STANDING","fBodyBodyGyroJerkMag-std()",-0.744194981440397
"25",2,"STANDING","fBodyBodyGyroMag-mean()",-0.699742945221854
"26",2,"STANDING","fBodyBodyGyroMag-std()",-0.725310337688742
"27",2,"STANDING","tBodyAccJerkMag-mean()",-0.58777744543543
"28",2,"STANDING","tBodyAccJerkMag-std()",-0.512115278415232
"29",2,"STANDING","tBodyAccMag-mean()",-0.535281800541722
"30",2,"STANDING","tBodyAccMag-std()",-0.552812545643709
"31",2,"STANDING","tBodyGyroJerkMag-mean()",-0.746559539039735
"32",2,"STANDING","tBodyGyroJerkMag-std()",-0.740088733655629
"33",2,"STANDING","tBodyGyroMag-mean()",-0.614771054893146
"34",2,"STANDING","tBodyGyroMag-std()",-0.680584887880795
"35",2,"STANDING","tGravityAccMag-mean()",-0.535281800541722
"36",2,"STANDING","tGravityAccMag-std()",-0.552812545643709
"37",3,"WALKING","fBodyAccMag-mean()",-0.579076453758064
"38",3,"WALKING","fBodyAccMag-std()",-0.663079838985044
"39",3,"WALKING","fBodyBodyAccJerkMag-mean()",-0.604752108072727
"40",3,"WALKING","fBodyBodyAccJerkMag-std()",-0.615643694857361
"41",3,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.810085498651026
"42",3,"WALKING","fBodyBodyGyroJerkMag-std()",-0.810032718739003
"43",3,"WALKING","fBodyBodyGyroMag-mean()",-0.716822144279179
"44",3,"WALKING","fBodyBodyGyroMag-std()",-0.703839403007038
"45",3,"WALKING","tBodyAccJerkMag-mean()",-0.650182434328446
"46",3,"WALKING","tBodyAccJerkMag-std()",-0.607658214170381
"47",3,"WALKING","tBodyAccMag-mean()",-0.563140802770059
"48",3,"WALKING","tBodyAccMag-std()",-0.591224780306452
"49",3,"WALKING","tBodyGyroJerkMag-mean()",-0.784056656246334
"50",3,"WALKING","tBodyGyroJerkMag-std()",-0.80366136372434
"51",3,"WALKING","tBodyGyroMag-mean()",-0.643150121648094
"52",3,"WALKING","tBodyGyroMag-std()",-0.674010290979472
"53",3,"WALKING","tGravityAccMag-mean()",-0.563140802770059
"54",3,"WALKING","tGravityAccMag-std()",-0.591224780306452
"55",4,"STANDING","fBodyAccMag-mean()",-0.602098037677603
"56",4,"STANDING","fBodyAccMag-std()",-0.672948341687697
"57",4,"STANDING","fBodyBodyAccJerkMag-mean()",-0.63501900541041
"58",4,"STANDING","fBodyBodyAccJerkMag-std()",-0.666506718936908
"59",4,"STANDING","fBodyBodyGyroJerkMag-mean()",-0.838833209652997
"60",4,"STANDING","fBodyBodyGyroJerkMag-std()",-0.863096864037855
"61",4,"STANDING","fBodyBodyGyroMag-mean()",-0.745650754608833
"62",4,"STANDING","fBodyBodyGyroMag-std()",-0.732586304826498
"63",4,"STANDING","tBodyAccJerkMag-mean()",-0.656116311856877
"64",4,"STANDING","tBodyAccJerkMag-std()",-0.647249966810726
"65",4,"STANDING","tBodyAccMag-mean()",-0.56158213510694
